Játékos;Poszt;Státusz;Szül. év.;Mag.;Töm.;Csapat
BOGDÁN Benedek;PF;Hazai;1997;200;102;Kaposvári KK
Mihajlo BOGDANOVIĆ;G;Légiós;1996;197;92;NKA Pécs
BOGNÁR Kristóf;FC;Hazai;1994;205;98;Debreceni EAC, Falco KC Szombathely, Szedeák
BOGNÁR Norbert;SG;Hazai;1980;191;82;Körmend
BOGNÁR Tibor;FC;Hazai;1963;202;95;Kaposvári KK, Oroszlány
BOGSCHÜTZ György;;Hazai;;;;Csepel
Shannon BOGUES;SG;Légiós;1997;191;88;Kecskemét
Andrija BOJIĆ;C;Légiós;1993;207;105;Jászberény
Željko BOJOVIĆ;SF;Légiós;1981;201;;Pécsi VSK
BOKODY László;F;Hazai;1954;194;81;Tungsram
BOKOR Tamás;;Hazai;;;;ZTE KK
BOKOR Zsolt;GF;Hazai;1966;190;85;Sopron KC
BOLDIZSÁR Ferenc;PF;Hazai;1977;201;103;Debreceni Egyetem, Debreceni KK, Dombóvár, Körmend, Nyíregyháza, Sopron KC, Szolnoki Olajbányász
Zlatko BOLIĆ;GF;Légiós;1974;195;95;Kecskemét
Marko BOLTIĆ;PG;Légiós;1987;193;91;Szedeák
Andrejs BONDARENKO;C;Légiós;1963;209;115;Körmend
BONIFERT Bendegúz;SF;Hazai;1998;199;90;Nyíregyháza, Szedeák, ZTE KK
BONIFERT Domonkos;SG;Hazai;1967;189;;Szegedi EOL
Luke BONNER;C;Légiós;1985;216;114;Alba Fehérvár
BONYHÁDI Zoltán;F;Hazai;1978;196;98;Falco KC Szombathely
Roy BOOKER;SG;Légiós;1983;191;93;Körmend, Nyíregyháza
Lamont BOOZER;FC;Légiós;1975;208;116;Alba Fehérvár
BOR Gábor;SG;Hazai;2005;194;80;NKA Pécs
BORBÁTH Csaba, dr.;PG;Hazai;1965;189;76;Csepel, Hódmezővásárhely
BORDÁCS Soma;F;Hazai;1998;199;91;MAFC
Miloš BORISOV;F;Légiós;1985;201;100;Debreceni EAC, Falco KC Szombathely, Kecskemét, Sopron KC, Szolnoki Olajbányász
BORÓK László;GF;Hazai;1968;195;84;Budapesti Honvéd, Tungsram
BOROS Gábor;GF;Hazai;1982;193;90;Debreceni Egyetem, Factum Sport Debrecen, Pécsi VSK
BOROS Márk;GF;Hazai;1997;193;91;Vasas
BOROS Mihály;F;Hazai;1959;197;93;Kecskemét, Tungsram
BOROS Tibor;G;Hazai;1962;180;68;Pécsi VSK
BOROS Zoltán;PG;Hazai;1970;194;91;Alba Fehérvár, Atomerőmű SE, Budapesti Honvéd, Kecskemét
BOROS Zoltán;FC;Hazai;1955;195;106;Szegedi EOL
BOROSNYAI Balázs;SF;Hazai;1974;196;85;ZTE KK
BOROSNYAI Szabolcs;SF;Hazai;1972;196;85;ZTE KK
BORSZÉKI Csaba;PF;Hazai;1980;207;98;Budapesti Honvéd, Falco KC Szombathely, Jászberény, ZTE KK
Zdravko BOŠKOVIĆ;PF;Légiós;1996;200;98;Körmend
Vedran BOSNIĆ;PG;Légiós;1976;188;;MAFC, Sopron KC
Mario BOŠNJAK;C;Légiós;1975;209;115;Falco KC Szombathely
Gerald BOSTON;PG;Légiós;1991;183;81;ZTE KK
BŐSZE Gergő;SG;Hazai;2006;186;82;Sopron KC
BOSZNAI Péter;GF;Hazai;1966;192;88;Dombóvár
BÖSZÖRMÉNYI Péter;SG;Hazai;1981;192;86;Hódmezővásárhely
BOTKA Botond;G;Hazai;2002;181;77;Kecskemét
BOVÁNOVICS Miklós;PF;Hazai;1978;200;92;Atomerőmű SE, Bajai Honvéd, Bajai SK, Kecskemét
Calvin BOWMAN;FC;Légiós;1977;206;102;Sopron KC
Jacobi BOYKINS;GF;Légiós;1995;198;82;Alba Fehérvár
BOZÓKI Csaba;PG;Hazai;1969;183;77;Csepel
Milivoje BOŽOVIĆ;C;Légiós;1985;210;97;Oroszlány
Cory BRADFORD;G;Légiós;1978;191;91;Alba Fehérvár, Kecskemét
Desonta BRADFORD;SG;Légiós;1996;191;86;Körmend
Karon BRADLEY;PG;Légiós;1984;183;82;Sopron KC
BRANDI Attila;SG;Hazai;;197;;MAFC
BRBAKLICS Aleksza;SF;Hazai;1995;194;95;Alba Fehérvár, Jászberény, NKA Pécs
James BREWER;G;Légiós;1969;190;;Csepel
Gerrit BRIGITHA;PF;Légiós;1982;203;105;Alba Fehérvár
Jozo BRKIĆ;C;Légiós;1986;211;110;Szedeák
Marko BRKIĆ;FC;Légiós;1982;206;100;Szolnoki Olajbányász
Veljko BRKIĆ;C;Légiós;1995;206;98;Pécsi VSK
Darnell BRODIE;C;Légiós;1998;208;125;NKA Pécs
Primož BROLIH;PG;Légiós;1981;185;80;Alba Fehérvár
Cedric BROOKS;G;Légiós;1980;185;86;Atomerőmű SE
David BROOKS;G;Légiós;1982;191;100;Hódmezővásárhely, Sopron KC
Devin BROOKS;G;Légiós;1992;188;79;Pécsi VSK
Herbie BROOKS;PG;Légiós;1965;188;86;Tungsram
Adam BROWN;G;Légiós;1988;193;86;Körmend
Christian BROWN;SG;Légiós;1983;193;86;Alba Fehérvár
Corey BROWN;GF;Légiós;1976;194;;Kaposvári KK
Isiah BROWN;G;Légiós;1997;188;85;Budapesti Honvéd, Kaposvári KK
Jordan BROWN;C;Légiós;1999;211;106;Kaposvári KK
Ken BROWN;PG;Légiós;1989;180;77;Atomerőmű SE
Kenny BROWN;GF;Légiós;1971;190;;ZTE KK
Parrish BROWN;PG;Légiós;1984;185;85;MAFC
Robert BROWN;SG;Légiós;1992;196;86;Jászberény
Tevin BROWN;GF;Légiós;1998;196;85;ZTE KK
Zach BROWN;SF;Légiós;1995;198;97;Falco KC Szombathely, Szedeák
Stevie BROWNING;G;Légiós;1993;191;91;Szolnoki Olajbányász
Evan BRUINSMA;PF;Légiós;1992;202;97;Falco KC Szombathely
Darryl BRYANT;G;Légiós;1990;188;93;Szolnoki Olajbányász
Freddie BRYANT;C;Légiós;1961;208;95;Oroszlány
C.J. BRYCE;GF;Légiós;1996;196;98;Nyíregyháza
Michael BRYSON;SG;Légiós;1994;193;91;Pécsi VSK
Mislav BRZOJA;GF;Légiós;1994;198;98;Atomerőmű SE
Gary BUCHANAN;SG;Légiós;1980;193;92;Nyíregyháza
De'Monte BUCKINGHAM;SG;Légiós;1997;193;100;Atomerőmű SE
Rakeem BUCKLES;PF;Légiós;1990;201;98;Debreceni EAC
Brad BUDDENBORG;GF;Légiós;1979;196;95;MAFC
Vanja BUDIMIĆ;SF;Légiós;1967;196;;Csepel
Veljko BUDIMIR;F;Légiós;1985;198;96;Pécsi VSK, Szolnoki Olajbányász
BUJDOSÓ Sándor;G;Hazai;1995;;;Factum Sport Debrecen
BÜKI Bence;SF;Hazai;2003;194;88;ZTE KK
Sejo BUKVA;C;Légiós;1966;213;115;Alba Fehérvár, Debreceni KK, Kaposvári KK, ZTE KK
Zvonko BULJAN;PF;Légiós;1987;206;107;Körmend
Lovro BULJEVIĆ;C;Légiós;1998;210;112;Atomerőmű SE, Debreceni EAC
Rodney BULLOCK;F;Légiós;1996;203;100;Alba Fehérvár
Bradford BURGESS;GF;Légiós;1990;198;102;Alba Fehérvár, Falco KC Szombathely
Charlie BURGESS;G;Légiós;1984;185;88;Körmend
BURJÁN Imre;SF;Hazai;1979;195;90;Debreceni KK
Elijah BURNS;FC;Légiós;1996;203;107;Oroszlány
BURONY Bálint;FC;Hazai;2008;200;87;NKA Pécs
Stanley BURRELL;G;Légiós;1984;191;95;Szolnoki Olajbányász
Andre BURTON;G;Légiós;1983;196;98;Nyíregyháza
Jamarius BURTON;G;Légiós;2000;193;91;Oroszlány
BUS Iván;G;Hazai;1993;191;85;Atomerőmű SE, Falco KC Szombathely, Nyíregyháza, Sopron KC
BUS Milán;PG;Hazai;1990;183;;Nyíregyháza
BUSÁK Csaba;GF;Hazai;1960;191;;Testnevelési Főiskola
BUSÁK István;PF;Hazai;1954;193;95;Egri TANÉP
