Játékos;Szezon;Csapat;G;Min;Min PG;AST;AST PG;AST 100;AST%;AST/ TOV;TOV;TOV PG;TOV 100;TOV%;DRB;ORB;TRB;DRB PG;ORB PG;TRB PG;DRB 100;ORB 100;TRB 100;DRB%;ORB%;TRB%;PFA;PFA PG;PFA 100;PF;PF PG;PF 100;Min / 5 PF;STL;STL PG;STL%;STL/ TOV;BLK;BPG PG;BLK 100;BLK%
KISS Mátyás;2022-23;Körmend;30;312;10.4;12;0.4;2.1;5.7;0.67;18;0.6;3.1;25.4;8;7;15;0.3;0.2;0.5;1.4;1.2;2.6;2.9;2.6;2.8;7;0.2;1.2;58;1.9;10.1;26.9;6;0.2;1.0;0.3;0;0.0;0.0;0.0
BALOGH Máté;2024-25;Bp. Honvéd;17;311;18.3;6;0.4;1.1;3.6;0.32;19;1.1;3.4;22.6;33;19;52;1.9;1.1;3.1;5.9;3.4;9.3;12.5;6.4;9.3;10;0.6;1.8;47;2.8;8.4;33.1;1;0.1;0.2;0.1;2;0.1;0.4;0.8
KOVÁCS Benedek;2024-25;Falco KC;34;311;9.1;7;0.2;1.2;3.0;0.70;10;0.3;1.8;11.9;25;20;45;0.7;0.6;1.3;4.4;3.5;8.0;8.1;7.9;8.0;15;0.4;2.7;35;1.0;6.2;44.4;8;0.2;1.4;0.8;4;0.1;0.7;1.3
GÁSPÁR Mátyás;2024-25;Körmend;32;310;9.7;16;0.5;2.8;7.5;1.33;12;0.4;2.1;15.6;33;16;49;1.0;0.5;1.5;5.7;2.8;8.4;11.7;5.7;8.7;28;0.9;4.8;78;2.4;13.4;19.9;6;0.2;1.0;0.5;10;0.3;1.7;3.2
Seth LEDAY;2024-25;ZTE;14;310;22.2;17;1.2;2.9;9.6;0.77;22;1.6;3.7;13.1;53;31;84;3.8;2.2;6.0;8.9;5.2;14.1;20.1;11.1;15.4;37;2.6;6.2;45;3.2;7.6;34.5;21;1.5;3.5;1.0;4;0.3;0.7;1.5
Sagaba KONATE;2023-24;Körmend;15;306;20.4;10;0.7;1.7;6.4;0.37;27;1.8;4.7;17.3;51;22;73;3.4;1.5;4.9;8.8;3.8;12.6;19.6;8.0;13.7;43;2.9;7.4;45;3.0;7.8;34.0;7;0.5;1.2;0.3;11;0.7;1.9;3.5
Gligorije RAKOČEVIĆ;2024-25;Alba Fehérvár;14;305;21.8;11;0.8;2.0;5.5;1.57;7;0.5;1.3;8.0;40;17;57;2.9;1.2;4.1;7.1;3.0;10.2;15.3;6.6;10.9;25;1.8;4.5;44;3.1;7.8;34.6;4;0.3;0.7;0.6;7;0.5;1.3;2.4
GÁSPÁR Mátyás;2022-23;DEAC;23;302;13.1;8;0.3;1.5;4.2;0.62;13;0.6;2.4;16.9;27;11;38;1.2;0.5;1.7;5.1;2.1;7.1;10.5;4.3;7.4;9;0.4;1.7;51;2.2;9.5;29.6;8;0.3;1.5;0.6;12;0.5;2.3;4.3
TAKÁCS Kristóf;2022-23;Körmend;31;301;9.7;13;0.4;2.3;6.5;0.93;14;0.5;2.5;18.8;15;8;23;0.5;0.3;0.7;2.7;1.4;4.1;5.6;3.1;4.4;24;0.8;4.3;54;1.7;9.7;27.9;13;0.4;2.3;0.9;3;0.1;0.5;1.0
KASS Balázs;2024-25;Alba Fehérvár;33;301;9.1;24;0.7;4.3;10.4;1.50;16;0.5;2.8;22.0;15;7;22;0.5;0.2;0.7;2.7;1.2;3.9;5.7;2.6;4.1;20;0.6;3.5;52;1.6;9.2;29.0;8;0.2;1.4;0.5;0;0.0;0.0;0.0
PAÁR Márk;2022-23;Kaposvár;25;300;12.0;5;0.2;0.9;2.8;0.38;13;0.5;2.3;12.1;27;13;40;1.1;0.5;1.6;4.9;2.3;7.2;10.4;5.2;7.8;11;0.4;2.0;37;1.5;6.7;40.5;9;0.4;1.6;0.7;0;0.0;0.0;0.0
Amorie ARCHIBALD;2023-24;Sopron;12;300;25.0;32;2.7;5.8;21.1;1.39;23;1.9;4.1;12.4;37;11;48;3.1;0.9;4.0;6.7;2.0;8.7;13.6;4.0;8.8;71;5.9;12.8;26;2.2;4.7;57.7;14;1.2;2.5;0.6;0;0.0;0.0;0.0
