Dátum;Hazai csapat;Vendég csapat;Ered.;home_score;away_score;Kim.;Szakasz;Hazai ÉLŐ pont;Hazai ÉLŐ vált.;Vend. ÉLŐ pont;Vend. ÉLŐ vált.
2022-12-30;Naturtex-SZTE-Szedeák;Zalakerámia ZTE KK;76-92;76;92;V;alapszakasz;1456;-22.7;1543;22.7
2023-01-06;Duna Aszfalt-DTKH Kecskemét;Naturtex-SZTE-Szedeák;86-92;86;92;V;alapszakasz;1479;-15.8;1434;15.8
2023-01-07;Budapesti Honvéd SE;Atomerőmű SE;73-69;73;69;H;alapszakasz;1256;13.3;1484;-13.3
2023-01-07;Kometa Kaposvári KK;Falco-Vulcano Energia KC Szombathely;61-86;61;86;V;alapszakasz;1450;-14.5;1765;14.5
2023-01-07;HÜBNER Nyíregyháza BS;DEAC;75-96;75;96;V;alapszakasz;1321;-24.2;1462;24.2
2023-01-07;MVM-OSE Lions;Arconic-Alba Fehérvár;66-83;66;83;V;alapszakasz;1489;-21.1;1633;21.1
2023-01-07;Sopron KC;Szolnoki Olajbányász;76-78;76;78;V;alapszakasz;1579;-8.2;1667;8.2
2023-01-07;Zalakerámia ZTE KK;Egis Körmend;109-77;109;77;H;alapszakasz;1565;12.8;1523;-12.8
2023-01-13;Szolnoki Olajbányász;HÜBNER Nyíregyháza BS;83-70;83;70;H;alapszakasz;1675;0.5;1297;-0.5
2023-01-14;Arconic-Alba Fehérvár;Zalakerámia ZTE KK;73-78;73;78;V;alapszakasz;1655;-15.0;1578;15.0
2023-01-14;Atomerőmű SE;Kometa Kaposvári KK;93-81;93;81;H;alapszakasz;1471;6.8;1436;-6.8
2023-01-14;Budapesti Honvéd SE;MVM-OSE Lions;70-61;70;61;H;alapszakasz;1269;18.5;1468;-18.5
2023-01-14;DEAC;Duna Aszfalt-DTKH Kecskemét;69-75;69;75;V;alapszakasz;1486;-15.3;1463;15.3
2023-01-14;Falco-Vulcano Energia KC Szombathely;Sopron KC;86-75;86;75;H;alapszakasz;1779;1.6;1571;-1.6
2023-01-14;Egis Körmend;Naturtex-SZTE-Szedeák;93-85;93;85;H;alapszakasz;1510;3.5;1449;-3.5
2023-01-20;Duna Aszfalt-DTKH Kecskemét;Egis Körmend;81-72;81;72;H;alapszakasz;1479;9.4;1514;-9.4
2023-01-21;DEAC;Szolnoki Olajbányász;81-63;81;63;H;alapszakasz;1471;31.7;1676;-31.7
2023-01-21;Kometa Kaposvári KK;MVM-OSE Lions;78-68;78;68;H;alapszakasz;1429;8.7;1449;-8.7
2023-01-21;HÜBNER Nyíregyháza BS;Falco-Vulcano Energia KC Szombathely;69-99;69;99;V;alapszakasz;1296;-6.4;1781;6.4
2023-01-21;Sopron KC;Atomerőmű SE;78-80;78;80;V;alapszakasz;1570;-10.3;1477;10.3
2023-01-21;Naturtex-SZTE-Szedeák;Arconic-Alba Fehérvár;87-78;87;78;H;alapszakasz;1446;20.0;1640;-20.0
2023-01-21;Zalakerámia ZTE KK;Budapesti Honvéd SE;93-80;93;80;H;alapszakasz;1593;1.1;1288;-1.1
2023-01-25;HÜBNER Nyíregyháza BS;Duna Aszfalt-DTKH Kecskemét;77-71;77;71;H;alapszakasz;1290;15.6;1488;-15.6
2023-01-28;Arconic-Alba Fehérvár;Egis Körmend;73-82;73;82;V;alapszakasz;1620;-21.0;1505;21.0
2023-01-28;Atomerőmű SE;HÜBNER Nyíregyháza BS;82-65;82;65;H;alapszakasz;1488;3.1;1305;-3.1
2023-01-28;Budapesti Honvéd SE;Naturtex-SZTE-Szedeák;85-72;85;72;H;alapszakasz;1287;21.5;1466;-21.5
2023-01-28;Falco-Vulcano Energia KC Szombathely;DEAC;75-81;75;81;V;alapszakasz;1787;-16.4;1503;16.4
2023-01-28;Kometa Kaposvári KK;Zalakerámia ZTE KK;89-82;89;82;H;alapszakasz;1438;13.8;1594;-13.8
2023-01-28;MVM-OSE Lions;Sopron KC;82-77;82;77;H;alapszakasz;1440;10.1;1559;-10.1
2023-01-31;Szolnoki Olajbányász;Duna Aszfalt-DTKH Kecskemét;64-70;64;70;V;alapszakasz;1644;-16.8;1473;16.8
2023-02-01;Falco-Vulcano Energia KC Szombathely;Atomerőmű SE;92-67;92;67;H;alapszakasz;1771;1.6;1491;-1.6
2023-02-03;Duna Aszfalt-DTKH Kecskemét;Arconic-Alba Fehérvár;88-77;88;77;H;alapszakasz;1489;15.4;1599;-15.4
2023-02-04;DEAC;Atomerőmű SE;81-75;81;75;H;alapszakasz;1519;5.2;1489;-5.2
2023-02-04;Egis Körmend;Budapesti Honvéd SE;81-64;81;64;H;alapszakasz;1526;1.8;1308;-1.8
2023-02-04;HÜBNER Nyíregyháza BS;MVM-OSE Lions;81-95;81;95;V;alapszakasz;1302;-18.0;1451;18.0
