Játékos;Szezon;Csapat;Min%;On40;Net40;Net RTG;Net Pace;Net Tm PTS 40;Net Tm RTG;Net Tm Close att. rate;Net Tm 3P att. rate;Net Tm EFG %;Net Tm FT made rate;Net Tm ORB %;Net Tm AST %;Net Tm TOV %;Net Tm BLK %;Net Opp PTS 40;Net Opp RTG;Net Opp Close att. rate;Net Opp 3P att. rate;Net Opp EFG %;Net Opp FT made rate;Net Opp ORB %;Net Opp AST %;Net Opp TOV %;Net Opp BLK %
RUDNER Gábor;2024-25;Szolnok;43.0;0.8;-5.7;-7.5;-1.2;-8.4;-9.2;-0.029;0.010;-0.031;-0.014;-2.9;6.4;1.4;-1.7;-2.7;-1.7;-0.027;0.035;-0.012;0.052;1.0;0.0;1.0;-0.2
Tulio DA SILVA;2023-24;Sopron;43.0;-3.8;3.6;5.0;-0.2;2.3;3.4;0.038;-0.053;0.015;-0.013;2.8;1.5;-1.3;0.6;-1.3;-1.6;-0.043;0.032;0.009;-0.010;-6.8;1.7;0.0;-1.0
SCHERER Bálint;2023-24;NKA Pécs;42.9;-2.4;-3.5;-4.8;-2.4;-7.4;-6.4;0.016;-0.005;-0.030;-0.045;2.4;1.6;0.5;-0.3;-3.9;-1.6;0.007;-0.030;-0.011;0.025;-0.7;6.3;0.0;0.5
ANTONI Csanád;2024-25;PVSK;42.4;-12.3;-4.6;-5.9;1.7;-1.2;-4.0;-0.027;0.023;-0.005;0.011;-5.2;4.0;0.3;-0.3;3.4;1.9;0.009;-0.001;0.000;0.005;-1.2;-5.0;-0.8;0.1
PAJOR Dávid;2022-23;Atomerőmű SE;42.2;-2.6;-5.4;-7.3;-3.3;-4.2;-0.8;0.015;0.000;-0.047;0.004;2.2;-0.3;-2.4;-1.2;1.2;6.5;0.005;-0.008;0.034;-0.055;5.2;3.6;0.0;0.2
MESZLÉNYI Róbert;2023-24;Sopron;41.9;-4.5;2.3;3.3;1.2;2.3;1.4;-0.005;0.009;0.027;-0.009;-3.7;-1.9;-0.4;1.0;0.0;-1.9;0.016;0.000;0.005;-0.022;-0.7;-2.6;0.0;-2.6
Jay HEATH;2024-25;Szedeák;41.8;-13.9;-9.1;-12.3;2.5;0.3;-3.3;0.021;-0.013;-0.012;-0.031;-1.5;-0.1;-0.1;-0.1;9.4;9.0;0.016;-0.021;0.029;-0.037;1.4;0.5;-3.7;0.0
Isiah BROWN;2022-23;Kaposvár;41.8;-3.7;0.5;0.6;0.8;-0.8;-2.3;0.015;-0.051;-0.043;0.036;1.8;-10.7;-1.9;-0.8;-1.3;-2.9;-0.040;0.032;-0.004;-0.046;-2.0;-1.6;0.0;0.2
KRIVACSEVICS Markó;2024-25;Alba Fehérvár;41.5;5.9;10.4;14.0;-0.3;3.8;5.5;0.017;-0.003;0.003;0.053;9.7;-4.3;0.4;0.0;-6.7;-8.5;-0.008;0.022;-0.036;0.056;-5.4;2.6;1.4;-0.5
Jimmie TAYLOR;2022-23;DEAC;41.5;-1.4;0.3;0.4;0.3;2.1;2.6;-0.024;-0.002;0.026;0.040;0.1;-4.5;2.5;1.9;1.8;2.2;-0.030;-0.025;0.020;-0.032;1.7;0.0;0.0;-1.7
Zach BROWN;2022-23;Falco KC;41.2;12.7;1.3;1.0;3.2;3.2;-0.9;0.018;-0.013;-0.008;-0.006;1.4;-0.5;-0.4;-0.9;1.9;-1.9;-0.036;0.018;0.003;-0.012;-0.5;-1.6;0.0;0.6
TANOH DEZ András;2023-24;Falco KC;41.1;21.9;2.3;4.0;-2.4;-3.5;-0.7;0.024;-0.015;0.000;0.010;2.8;5.0;0.5;-1.9;-5.8;-4.7;-0.003;-0.005;-0.011;-0.014;-5.0;0.3;0.0;-0.8
Tyree EADY;2024-25;Szedeák;41.0;-2.7;10.0;13.7;-2.1;2.6;6.6;-0.025;0.003;0.025;0.033;1.9;1.5;-0.2;0.5;-7.4;-7.1;-0.007;-0.003;-0.022;0.002;-2.5;-2.2;2.3;-1.7
