Játékos;Szezon;Csapat;G;Min;Min PG;GmSc;GmSc PG;GmSc 100;adj. GmSc;adj. GmSc PG;adj. GmSc 100;VAL;PER;USG%;% Team Poss;PTS Prod;Floor %;ORtg;DRtg;Net Rtg;OWS;DWS;WS;WS40;MVP Index;Gy;V;Gy%
VERASZTÓ Péter;2022-23;Falco KC;18;126;7.0;18;1.0;7.7;25;1.4;10.5;2.4;7.5;14.0;14.2;34;0.43;102;102;0.0;0.0;0.3;0.3;0.099;46;15;3;83.3
SCHMERA Gergely;2023-24;Körmend;19;126;6.6;17;0.9;6.9;23;1.2;9.5;2.3;7.0;18.1;17.3;38;0.45;94;120;-26.4;-0.2;0.0;-0.1;-0.038;5;7;12;36.8
PERINGER Balázs;2024-25;Szolnok;23;124;5.4;30;1.3;13.0;41;1.8;17.5;2.7;12.8;14.5;15.4;39;0.54;110;110;0.1;0.1;0.2;0.3;0.092;57;19;4;82.6
SITKU Márton;2024-25;ZTE;12;122;10.1;30;2.5;13.3;41;3.4;18.0;3.8;12.5;15.2;13.7;37;0.47;119;105;14.5;0.2;0.3;0.5;0.152;72;7;5;58.3
CSIZMADIA Attila;2024-25;ZTE;16;121;7.6;15;1.0;6.9;21;1.3;9.3;2.4;7.1;7.0;7.4;15;0.40;91;110;-18.6;-0.1;0.2;0.1;0.038;27;6;10;37.5
Andrew SMITH;2024-25;Alba Fehérvár;5;120;24.0;54;10.8;23.2;73;14.6;31.4;20.0;22.6;16.1;16.7;52;0.64;135;109;25.5;0.4;0.2;0.6;0.213;112;2;3;40.0
WERNER Viktor;2024-25;Oroszlány;21;115;5.5;-2;-0.1;-0.9;-2;-0.1;-1.1;1.0;0.6;7.5;9.4;15;0.36;75;119;-43.9;-0.2;0.0;-0.2;-0.063;-17;5;16;23.8
SÖVEGJÁRTÓ Ábel;2024-25;Falco KC;28;113;4.0;27;0.9;12.9;36;1.3;17.4;1.6;12.8;9.3;8.7;26;0.61;144;100;44.6;0.3;0.3;0.6;0.219;85;27;1;96.4
Adam KEMP;2022-23;Alba Fehérvár;6;109;18.2;24;4.0;12.1;33;5.5;16.5;9.0;12.1;14.7;15.0;32;0.52;109;100;9.0;0.1;0.3;0.4;0.141;59;4;2;66.7
FAZEKAS Máté;2024-25;Alba Fehérvár;14;109;7.8;37;2.7;18.1;50;3.6;24.4;4.5;17.8;17.8;17.3;45;0.61;126;119;6.4;0.3;0.0;0.3;0.118;61;6;8;42.9
