Játékos;Szezon;Csapat;G;Min;Min PG;GmSc;GmSc PG;GmSc 100;adj. GmSc;adj. GmSc PG;adj. GmSc 100;VAL;PER;USG%;% Team Poss;PTS Prod;Floor %;ORtg;DRtg;Net Rtg;OWS;DWS;WS;WS40;MVP Index;Gy;V;Gy%
Lester MEDFORD;2024-25;Alba Fehérvár;26;835;32.1;277;10.6;17.8;374;14.4;24.1;20.3;15.6;24.9;26.4;444;0.46;108;120;-12.4;0.8;0.1;0.8;0.040;339;11;15;42.3
Andre WILLIAMSON;2024-25;DEAC;28;832;29.7;250;8.9;17.0;338;12.1;23.0;17.0;15.7;15.6;15.0;264;0.53;120;106;14.5;1.5;1.8;3.3;0.157;550;15;13;53.6
Alan HERNDON;2024-25;Szedeák;30;821;27.4;355;11.8;24.0;480;16.0;32.4;21.1;22.8;18.3;18.0;335;0.61;126;110;15.5;2.4;1.2;3.6;0.173;657;9;21;30.0
TAKÁCS Martin;2024-25;ZTE;36;821;22.8;152;4.2;10.0;205;5.7;13.6;8.5;9.3;13.6;14.7;227;0.47;102;113;-11.3;-0.1;0.9;0.8;0.039;231;18;18;50.0
PERL Zoltán;2023-24;Falco KC;35;820;23.4;621;17.7;40.6;846;24.2;55.4;26.6;34.7;31.4;30.7;664;0.64;141;99;42.0;6.5;2.6;9.1;0.443;1502;30;5;85.7
Marjan ČAKARUN;2022-23;Körmend;39;817;20.9;246;6.3;16.3;336;8.6;22.2;13.8;15.3;21.1;21.0;348;0.54;110;114;-4.3;1.0;0.6;1.6;0.078;404;21;18;53.8
Kemal KARAHODŽIĆ;2024-25;Kecskemét;33;815;24.7;263;8.0;18.4;355;10.8;24.9;16.0;17.4;17.3;18.3;317;0.61;122;115;7.2;1.9;0.7;2.7;0.131;491;13;20;39.4
Danilo OSTOJIĆ;2023-24;ZTE;31;814;26.3;336;10.8;22.6;459;14.8;30.8;19.3;21.1;19.4;19.6;372;0.62;127;113;14.4;2.6;1.1;3.6;0.177;681;16;15;51.6
Auston BARNES;2022-23;Szolnok;33;811;24.6;234;7.1;16.3;319;9.7;22.3;12.7;15.0;16.5;15.5;283;0.55;127;109;18.5;2.3;1.2;3.5;0.173;549;23;10;69.7
Kemal KARAHODŽIĆ;2023-24;Kecskemét;35;808;23.1;306;8.7;20.9;417;11.9;28.5;16.3;20.3;20.0;20.9;371;0.61;121;113;8.8;2.0;1.0;3.1;0.153;567;15;20;42.9
RUJÁK András;2023-24;Oroszlány;35;806;23.0;129;3.7;8.4;175;5.0;11.4;7.0;8.3;7.6;8.8;155;0.50;115;115;0.0;0.5;0.8;1.4;0.067;243;17;18;48.6
Anthony DURHAM;2024-25;NKA Pécs;25;798;31.9;318;12.7;21.7;430;17.2;29.4;20.8;18.7;26.8;25.9;429;0.50;113;108;5.0;1.5;1.4;2.9;0.145;557;14;11;56.0
MÓCSÁN Bálint;2022-23;DEAC;30;796;26.5;273;9.1;19.4;373;12.4;26.5;14.1;17.2;25.5;24.0;369;0.46;109;110;-0.7;1.0;1.1;2.1;0.105;458;15;15;50.0
Lovro BULJEVIĆ;2023-24;DEAC;34;793;23.3;211;6.2;15.0;288;8.5;20.5;13.1;14.1;20.0;19.8;293;0.53;105;110;-4.7;0.1;1.3;1.5;0.074;338;15;19;44.1
CSEH Botond;2024-25;Szedeák;34;793;23.3;144;4.2;10.2;195;5.7;13.8;9.0;9.5;17.5;16.9;237;0.47;99;114;-15.4;-0.4;0.7;0.3;0.018;172;11;23;32.4
BAZSÓ Brúnó;2022-23;NYBS;32;789;24.7;140;4.4;9.4;191;6.0;12.8;8.6;9.0;11.7;11.7;185;0.45;106;117;-11.1;0.3;0.3;0.5;0.027;183;3;29;9.4
PONGÓ Máté;2022-23;Szolnok;37;787;21.3;206;5.6;14.8;281;7.6;20.2;10.1;13.5;16.3;17.7;284;0.47;115;106;9.2;1.3;1.5;2.8;0.143;447;27;10;73.0
Isaiah MUCIUS;2024-25;Sopron;30;785;26.2;289;9.6;20.0;391;13.0;27.0;15.6;18.0;22.4;21.1;363;0.52;119;113;5.5;1.8;0.8;2.7;0.136;509;13;17;43.3
PERINGER Balázs;2022-23;Bp. Honvéd;36;781;21.7;137;3.8;9.6;187;5.2;13.1;8.0;9.9;10.8;11.4;174;0.53;107;112;-5.8;0.3;0.8;1.1;0.055;228;10;26;27.8
KELLER Ákos;2023-24;Falco KC;36;781;21.7;253;7.0;17.4;344;9.6;23.7;13.8;16.2;14.2;14.7;264;0.58;123;96;27.6;1.5;2.8;4.4;0.224;675;31;5;86.1
PALLAI Tamás;2024-25;Szolnok;35;779;22.2;233;6.7;16.1;315;9.0;21.7;9.7;14.5;17.5;16.1;288;0.50;123;112;11.6;1.8;1.0;2.8;0.143;504;26;9;74.3
KELLER Iván;2023-24;ZTE;37;778;21.0;168;4.5;11.7;229;6.2;16.0;7.8;10.8;13.0;13.0;213;0.50;115;118;-3.8;0.7;0.4;1.1;0.058;279;16;21;43.2
POLYÁK László;2022-23;DEAC;34;775;22.8;150;4.4;10.9;205;6.0;14.9;8.6;9.8;17.4;16.9;233;0.43;100;112;-11.3;-0.1;0.8;0.7;0.037;207;17;17;50.0
Nikola POPOVIĆ;2024-25;Falco KC;36;775;21.5;357;9.9;25.3;482;13.4;34.2;17.1;22.8;20.9;21.3;391;0.63;130;101;29.0;3.1;2.1;5.3;0.272;864;32;4;88.9
LUKÁCS Norbert;2024-25;Szolnok;32;775;24.2;283;8.9;19.6;383;12.0;26.4;14.4;17.9;16.4;15.9;295;0.57;128;110;18.5;2.2;1.2;3.4;0.174;615;24;8;75.0
MUCZA Tamás;2023-24;Szedeák;36;773;21.5;128;3.5;8.6;174;4.8;11.7;7.5;7.9;14.4;15.2;230;0.47;102;122;-20.0;-0.1;0.0;-0.2;-0.008;110;16;20;44.4
VALERIO-BODON Vincent;2022-23;Sopron;30;772;25.7;224;7.5;16.2;305;10.2;22.1;12.6;15.3;14.4;14.5;239;0.50;120;109;11.0;1.4;1.2;2.6;0.134;462;16;14;53.3
ILLÉS Máté;2022-23;Oroszlány;36;767;21.3;120;3.3;8.7;164;4.6;11.8;6.0;7.7;21.5;20.1;267;0.38;96;115;-19.1;-0.7;0.5;-0.1;-0.008;104;18;18;50.0
Tyler ROBERSON;2022-23;Szedeák;25;764;30.6;284;11.3;20.4;387;15.5;27.9;19.8;19.5;23.6;23.6;364;0.56;111;112;-0.9;1.2;0.8;2.0;0.105;456;7;18;28.0
James BISHOP;2024-25;Oroszlány;24;763;31.8;202;8.4;14.5;273;11.4;19.6;13.8;12.2;26.6;26.2;358;0.43;98;119;-20.6;-0.7;0.2;-0.4;-0.023;156;7;17;29.2
TÓTH Ádám;2023-24;ZTE;35;760;21.7;286;8.2;20.5;390;11.1;27.9;15.0;19.3;23.4;23.3;387;0.59;119;117;1.5;1.8;0.5;2.3;0.122;512;16;19;45.7
ZSÍROS Péter;2024-25;Szedeák;36;760;21.1;152;4.2;11.2;206;5.7;15.1;7.2;10.6;14.4;13.7;200;0.40;107;114;-6.6;0.3;0.7;1.0;0.055;240;12;24;33.3
Matt FREEMAN;2024-25;Bp. Honvéd;26;759;29.2;182;7.0;13.2;245;9.4;17.8;12.8;11.4;18.8;18.1;255;0.43;102;107;-4.9;-0.1;1.5;1.4;0.073;295;12;14;46.2
Demajeo WIGGINS;2023-24;Szolnok;30;755;25.2;298;9.9;21.2;406;13.5;28.9;19.3;18.1;26.6;26.0;390;0.55;107;112;-5.4;0.4;1.0;1.4;0.074;448;18;12;60.0
De'Quon LAKE;2024-25;Atomerőmű SE;33;755;22.9;300;9.1;21.5;405;12.3;29.1;16.5;21.2;15.3;15.8;296;0.66;135;104;31.0;2.7;1.8;4.4;0.235;729;26;7;78.8
Denis KRESTININ;2022-23;Oroszlány;35;754;21.5;254;7.2;18.6;346;9.9;25.4;15.0;18.1;17.2;18.0;284;0.58;116;107;9.4;1.4;1.4;2.7;0.145;487;17;18;48.6
OMENAKA Godwin;2022-23;Körmend;38;751;19.8;313;8.2;22.6;428;11.3;30.8;15.5;22.4;20.2;20.6;340;0.59;119;109;10.1;1.8;1.2;3.0;0.160;606;20;18;52.6
BOGNÁR Kristóf;2024-25;Falco KC;36;751;20.9;310;8.6;22.7;419;11.6;30.7;14.8;20.7;18.7;19.4;341;0.60;129;99;29.8;2.6;2.3;4.9;0.262;783;32;4;88.9
Nikola DJOGO;2023-24;Körmend;28;750;26.8;271;9.7;19.4;370;13.2;26.5;17.6;17.0;22.0;21.5;346;0.52;115;114;1.4;1.2;0.9;2.1;0.112;449;13;15;46.4
Sebastian ÅRIS;2022-23;Kaposvár;23;743;32.3;252;10.9;18.3;344;14.9;25.0;19.0;17.0;20.6;20.3;344;0.51;123;117;6.6;2.3;0.3;2.6;0.139;482;10;13;43.5
IVKOVICS Milán;2023-24;Kecskemét;36;740;20.6;53;1.5;3.9;72;2.0;5.4;4.2;4.4;12.4;12.0;144;0.40;90;118;-28.4;-0.9;0.4;-0.5;-0.025;10;15;21;41.7
Nemanja NIKOLIĆ;2024-25;NKA Pécs;27;737;27.3;250;9.3;18.5;338;12.5;25.0;17.2;15.9;23.2;23.8;350;0.48;109;108;0.6;0.7;1.3;2.0;0.109;418;14;13;51.9
Taz SHERMAN;2022-23;Bp. Honvéd;25;731;29.2;246;9.8;18.1;335;13.4;24.7;14.6;16.1;26.3;25.3;366;0.45;107;114;-7.0;0.7;0.6;1.2;0.068;343;7;18;28.0
Jeriah HORNE;2024-25;Alba Fehérvár;25;731;29.2;243;9.7;17.9;328;13.1;24.2;16.5;16.1;19.2;17.8;285;0.49;118;114;3.8;1.4;0.7;2.1;0.112;427;12;13;48.0
Boris BARAĆ;2022-23;Falco KC;35;730;20.9;246;7.0;18.5;336;9.6;25.3;14.0;16.6;23.9;24.2;362;0.54;112;105;7.7;1.3;1.5;2.9;0.156;528;29;6;82.9
KUCSERA Dániel;2024-25;Sopron;31;730;23.5;148;4.8;11.1;200;6.4;15.0;8.9;10.8;14.9;13.9;202;0.45;109;108;1.4;0.4;1.3;1.8;0.097;309;14;17;45.2
Miloš GRUBOR;2024-25;Bp. Honvéd;26;729;28.1;220;8.5;16.6;298;11.5;22.4;13.8;14.4;23.2;21.3;297;0.42;105;110;-5.5;0.2;1.1;1.3;0.070;332;9;17;34.6
KOVÁCS Benedek;2022-23;Falco KC;37;728;19.7;140;3.8;10.6;191;5.2;14.4;7.0;10.2;12.7;12.0;187;0.51;118;105;12.3;1.0;1.5;2.4;0.134;376;30;7;81.1
PONGÓ Marcell;2023-24;Falco KC;36;728;20.2;269;7.5;19.8;367;10.2;27.0;13.1;17.7;18.5;20.0;325;0.50;120;95;24.7;1.6;2.7;4.3;0.236;684;31;5;86.1
